

name,adresse,zip,by,lat,long
Sumo Restaurant,Henrik Ibsens gate 90,0255,Oslo,59.91469432548203, 10.71931459152586
Champagneria,Frognerveien 2,0257,Oslo,59.91527248185749, 10.71710445123165
Fru Burum,Skovveien 3,0257,Oslo,59.91598776839145, 10.716144220416322
Lille Andys Pub,Frognerveien 12B,0263,Oslo,59.916645064308504, 10.713408421737306
Victor's Vinbar,Skovveien 15,0257,Oslo,59.917972680478975, 10.71835422545415
Frogner Kino,Frognerveien 30,0263,Oslo,59.918622142469445, 10.710102890982766
Forrest & Brown,Niels Juels gate 31,0257,Oslo,59.916860875031574, 10.714871341826488
Galleri Tiffani Frogner,Behrens gate 2,0257,Oslo,59.91652744388927, 10.716684515174649
Enoteca,Bygdøy allé 59,0265,Oslo,59.91851991220559, 10.705368155733478

